n,heapsort.ticks
150000,22786335
180000,27789508
210000,32843249
240000,37910404
270000,43045490
300000,48257631
330000,53533658
360000,58823947
390000,64117995
420000,69454958
450000,74800122
480000,80158132
510000,85514543
540000,90935343
570000,96419545
600000,101934912
630000,107467808
660000,112989401
690000,118566308
720000,124137910
750000,129689730
780000,135272393
810000,140865390
840000,146468426
870000,152068467
900000,157691647
930000,163324274
960000,168939281
990000,174550513
1020000,180207673
1050000,185829086
1080000,191593890
1110000,197349925
1140000,203109606
1170000,208869935
1200000,214676681
1230000,220445638
1260000,226268745
1290000,232077484
1320000,237898862
1350000,243712291
1380000,249522837
1410000,255377868
1440000,261178698
1470000,267036983
