n,heapsort.time
150000,89
180000,140
210000,174
240000,214
270000,244
300000,300
330000,373
360000,428
390000,443
420000,573
450000,655
480000,676
510000,846
540000,845
570000,894
600000,1015
630000,1124
660000,1286
690000,1325
720000,1305
750000,1559
780000,1299
810000,1358
840000,1501
870000,1552
900000,1640
930000,1817
960000,1915
990000,1825
1020000,2059
1050000,2163
1080000,2094
1110000,2241
1140000,2368
1170000,2392
1200000,2562
1230000,2623
1260000,2685
1290000,2828
1320000,2888
1350000,2958
1380000,2912
1410000,3129
1440000,3084
1470000,3212
