n,usesiterator.ticks
10000,10000
20000,20000
30000,30000
40000,40000
50000,50000
60000,60000
70000,70000
80000,80000
90000,90000
100000,100000
110000,110000
120000,120000
130000,130000
140000,140000
150000,150000
160000,160000
170000,170000
180000,180000
190000,190000
200000,200000
210000,210000
220000,220000
230000,230000
240000,240000
250000,250000
260000,260000
270000,270000
280000,280000
290000,290000
300000,300000
310000,310000
320000,320000
330000,330000
340000,340000
350000,350000
360000,360000
370000,370000
380000,380000
390000,390000
400000,400000
410000,410000
420000,420000
430000,430000
440000,440000
450000,450000
460000,460000
470000,470000
480000,480000
490000,490000
500000,500000
510000,510000
520000,520000
530000,530000
540000,540000
550000,550000
560000,560000
570000,570000
580000,580000
590000,590000
600000,600000
610000,610000
620000,620000
630000,630000
640000,640000
650000,650000
660000,660000
670000,670000
680000,680000
690000,690000
700000,700000
710000,710000
720000,720000
730000,730000
740000,740000
750000,750000
760000,760000
770000,770000
780000,780000
790000,790000
800000,800000
810000,810000
820000,820000
830000,830000
840000,840000
850000,850000
860000,860000
870000,870000
880000,880000
890000,890000
900000,900000
910000,910000
920000,920000
930000,930000
940000,940000
950000,950000
960000,960000
970000,970000
980000,980000
990000,990000
