n,usesiterator.time
10000,1
20000,0
30000,0
40000,0
50000,0
60000,0
70000,0
80000,0
90000,0
100000,1
110000,0
120000,1
130000,0
140000,1
150000,1
160000,1
170000,1
180000,1
190000,1
200000,1
210000,1
220000,1
230000,1
240000,1
250000,2
260000,2
270000,2
280000,2
290000,2
300000,2
310000,2
320000,2
330000,2
340000,3
350000,3
360000,3
370000,3
380000,3
390000,4
400000,4
410000,3
420000,3
430000,3
440000,4
450000,3
460000,4
470000,4
480000,4
490000,4
500000,4
510000,4
520000,4
530000,4
540000,4
550000,4
560000,4
570000,4
580000,5
590000,5
600000,5
610000,4
620000,5
630000,5
640000,5
650000,5
660000,5
670000,5
680000,5
690000,6
700000,6
710000,6
720000,6
730000,6
740000,5
750000,6
760000,6
770000,6
780000,6
790000,6
800000,6
810000,6
820000,6
830000,6
840000,6
850000,7
860000,7
870000,7
880000,7
890000,7
900000,7
910000,7
920000,8
930000,8
940000,8
950000,8
960000,8
970000,8
980000,8
990000,8
